;Data;ln,pibd,;lin,tendencia;lin,hiato;qua,tendencia;qua,hiato;hp,tendencia;hp,hiato;bp,tendencia;bp,hiato;cf,tendencia;cf,hiato;bn,tendencia;bn,hiato;nou,tendencia;nou,hiato
65;01/03/2012;5,108989695;5,0134021;0,095587594;5,0134021;0,095587594;5,117986867;-0,008997173;5,10363228;0,005357415;5,115983216;-0,006993521;5,111739797;0,002750102;5,029116967;0,079872728
66;01/06/2012;5,124189114;5,019131774;0,10505734;5,019131774;0,10505734;5,123397196;0,000791918;5,120955868;0,003233245;5,135857828;-0,011668714;5,125605096;0,001415982;5,04418428;0,080004834
67;01/09/2012;5,142755946;5,024861448;0,117894497;5,024861448;0,117894497;5,128138526;0,01461742;5,136688238;0,006067708;5,152386925;-0,009630979;5,141096402;-0,001659544;5,062520088;0,080235858
68;01/12/2012;5,14197497;5,030591122;0,111383847;5,030591122;0,111383847;5,132183504;0,009791466;5,129238306;0,012736664;5,142681266;-0,000706296;5,140467435;-0,001507535;5,063772468;0,078202501
69;01/03/2013;5,146092757;5,036320796;0,10977196;5,036320796;0,10977196;5,135513912;0,010578845;5,125850716;0,020242041;5,135889047;0,01020371;5,147174558;0,001081801;5,069663384;0,076429373
70;01/06/2013;5,164282206;5,042050471;0,122231735;5,042050471;0,122231735;5,138117649;0,026164557;5,138476924;0,025805282;5,147175157;0,017107049;5,162978828;-0,001303378;5,088408307;0,075873899
71;01/09/2013;5,165966568;5,047780145;0,118186423;5,047780145;0,118186423;5,13998923;0,025977338;5,137580455;0,028386113;5,148136981;0,017829587;5,168394107;0,002427539;5,092607626;0,073358942
72;01/12/2013;5,16745447;5,053509819;0,113944652;5,053509819;0,113944652;5,14113952;0,02631495;5,138205854;0,029248616;5,152044955;0,015409515;5,168610794;0,001156324;5,096868842;0,070585629
73;01/03/2014;5,178171749;5,059239493;0,118932257;5,059239493;0,118932257;5,14159562;0,036576129;5,148357624;0,029814126;5,163416456;0,014755293;5,178532875;0,000361126;5,109630438;0,068541312
74;01/06/2014;5,160338086;5,064969167;0,095368919;5,064969167;0,095368919;5,141401079;0,018937006;5,130128967;0,030209119;5,142645086;0,017693;5,162272492;0,001934406;5,097030581;0,063307505
75;01/09/2014;5,1605557;5,070698841;0,089856859;5,070698841;0,089856859;5,140622306;0,019933394;5,131204953;0,029350748;5,139564741;0,02099096;5,16242094;0,00186524;5,100811581;0,05974412
76;01/12/2014;5,16564479;5,076428515;0,089216276;5,076428515;0,089216276;5,139337544;0,026307247;5,140122879;0,025521911;5,146465191;0,019179599;5,163665019;-0,001979771;5,10915055;0,056494241
77;01/03/2015;5,160016306;5,082158189;0,077858117;5,082158189;0,077858117;5,137637495;0,022378811;5,142782292;0,017234014;5,150452008;0,009564298;5,158190825;-0,001825481;5,108067838;0,051948468
78;01/06/2015;5,133099915;5,087887863;0,045212052;5,087887863;0,045212052;5,135629306;-0,002529391;5,12803322;0,005066695;5,138243942;-0,005144027;5,132098028;-0,001001887;5,088074533;0,045025382
79;01/09/2015;5,117393053;5,093617537;0,023775516;5,093617537;0,023775516;5,133434105;-0,016041052;5,126377351;-0,008984298;5,136283395;-0,018890341;5,114005274;-0,003387779;5,078264961;0,039128092
80;01/12/2015;5,109653225;5,099347211;0,010306014;5,099347211;0,010306014;5,131171445;-0,02151822;5,131591386;-0,021938161;5,136657532;-0,027004307;5,10718132;-0,002471905;5,075710386;0,033942839
81;01/03/2016;5,093268348;5,105076885;-0,011808537;5,105076885;-0,011808537;5,12895085;-0,035682502;5,123650795;-0,030382447;5,122506561;-0,029238213;5,087150781;-0,006117567;5,065504989;0,027763359
82;01/06/2016;5,10088251;5,110806559;-0,009924049;5,110806559;-0,009924049;5,126868395;-0,025985885;5,133786351;-0,03290384;5,129438452;-0,028555941;5,092925983;-0,007956527;5,076879882;0,024002628
83;01/09/2016;5,092580867;5,116536233;-0,023955367;5,116536233;-0,023955367;5,124997856;-0,032416989;5,123285384;-0,030704517;5,119833752;-0,027252885;5,083450904;-0,009129962;5,074054562;0,018526305
84;01/12/2016;5,092248566;5,122265907;-0,030017341;5,122265907;-0,030017341;5,123396764;-0,031148198;5,118186244;-0,025937678;5,116716578;-0,024468012;5,086158264;-0,006090303;5,078415085;0,013833481
85;01/03/2017;5,102942033;5,127995581;-0,025053549;5,127995581;-0,025053549;5,122102393;-0,01916036;5,123150442;-0,02020841;5,120542579;-0,017600546;5,096937904;-0,006004129;5,092685921;0,010256112
86;01/06/2017;5,109122413;5,133725255;-0,024602842;5,133725255;-0,024602842;5,121132547;-0,012010134;5,122038463;-0,01291605;5,115217167;-0,006094754;5,103447971;-0,005674442;5,102933387;0,006189026
87;01/09/2017;5,113263269;5,139454929;-0,026191661;5,139454929;-0,026191661;5,120493057;-0,007229788;5,116731165;-0,003467896;5,106757273;0,006505995;5,111669176;-0,001594092;5,111363421;0,001899848
88;01/12/2017;5,118486847;5,145184603;-0,026697756;5,145184603;-0,026697756;5,120182244;-0,001695397;5,115132719;0,003354128;5,103688598;0,014798249;5,115564768;-0,002922079;5,120762084;-0,002275236
89;01/03/2018;5,121138542;5,150914278;-0,029775736;5,150914278;-0,029775736;5,120193915;0,000944627;5,116619239;0,004519303;5,104814719;0,016323823;5,121371015;0,000232473;5,127842833;-0,006704291
90;01/06/2018;5,1256063;5,156643952;-0,031037651;5,156643952;-0,031037651;5,120520814;0,005085486;5,123241789;0,002364511;5,11130271;0,014303591;5,125891221;0,000284921;5,136525214;-0,010918914
91;01/09/2018;5,133202726;5,162373626;-0,0291709;5,162373626;-0,0291709;5,121156277;0,012046449;5,130156548;0,003046178;5,118060308;0,015142418;5,132615045;-0,000587681;5,147973884;-0,014771159
92;01/12/2018;5,129531186;5,1681033;-0,038572114;5,1681033;-0,038572114;5,122096816;0,007434369;5,119690797;0,009840389;5,107193638;0,022337548;5,129504945;-2,62E-05;5,149277199;-0,019746013
93;01/03/2019;5,134354171;5,173832974;-0,039478803;5,173832974;-0,039478803;5,123346477;0,011007694;5,115339458;0,019014713;5,102194917;0,032159254;5,134425139;7,10E-05;5,158129605;-0,023775434
94;01/06/2019;5,137835598;5,179562648;-0,041727049;5,179562648;-0,041727049;5,124913947;0,012921652;5,115744049;0,022091549;5,102348365;0,035487234;5,13706301;-0,000772589;5,165705191;-0,027869592
95;01/09/2019;5,138868936;5,185292322;-0,046423386;5,185292322;-0,046423386;5,126814796;0,01205414;5,126932408;0,011936528;5,113866381;0,025002555;5,138201413;-0,000667523;5,171000688;-0,032131752
96;01/12/2019;5,147070311;5,191021996;-0,043951685;5,191021996;-0,043951685;5,129072669;0,017997642;5,1570433;-0,009972989;5,145064903;0,002005408;5,146182598;-0,000887713;5,182621029;-0,035550718
97;01/03/2020;5,125060726;5,19675167;-0,071690944;5,19675167;-0,071690944;5,131718745;-0,006658019;5,158393876;-0,03333315;5,148130934;-0,023070208;5,124016457;-0,001044269;5,167059661;-0,041998935
98;01/06/2020;5,03126481;5,202481344;-0,171216534;5,202481344;-0,171216534;5,134795453;-0,103530643;5,077469813;-0,046205003;5,068668274;-0,037403464;5,034972166;0,003707356;5,087031586;-0,055766776
99;01/09/2020;5,10810668;5,208211018;-0,100104338;5,208211018;-0,100104338;5,138341057;-0,030234377;5,150638062;-0,042531381;5,142842952;-0,034736272;5,105493778;-0,002612903;5,159723669;-0,051616989
100;01/12/2020;5,14410613;5,213940692;-0,069834562;5,213940692;-0,069834562;5,142329119;0,001777011;NA;NA;5,163644129;-0,019537999;5,131525041;-0,012581089;5,195645821;-0,051539692
101;01/03/2021;5,154553449;5,219670366;-0,065116917;5,219670366;-0,065116917;5,146714301;0,007839149;NA;NA;5,157781738;-0,003228289;5,144833763;-0,009719686;5,208510983;-0,053957534
102;01/06/2021;5,147696115;5,22540004;-0,077703925;5,22540004;-0,077703925;5,151452376;-0,003756261;NA;NA;5,143345477;0,004350638;5,143324009;-0,004372106;5,205705655;-0,05800954
103;01/09/2021;5,149618546;5,231129714;-0,081511168;5,231129714;-0,081511168;5,156504019;-0,006885473;NA;NA;5,148156984;0,001461562;5,147747924;-0,001870623;5,210591535;-0,060972988
104;01/12/2021;5,159179088;5,236859388;-0,0776803;5,236859388;-0,0776803;5,161827555;-0,002648467;NA;NA;5,164897624;-0,005718536;5,172842996;0,013663908;5,222136614;-0,062957526
105;01/03/2022;5,168919109;5,242589062;-0,073669953;5,242589062;-0,073669953;5,167377006;0,001542104;NA;NA;5,178000642;-0,009081532;5,166082237;-0,002836873;5,233652809;-0,0647337
106;01/06/2022;5,181822382;5,248318736;-0,066496355;5,248318736;-0,066496355;5,173104739;0,008717643;NA;NA;5,186857758;-0,005035377;5,183702717;0,001880336;5,247810913;-0,065988531
107;01/09/2022;5,192290615;5,25404841;-0,061757795;5,25404841;-0,061757795;5,178964085;0,01332653;NA;NA;5,188688939;0,003601676;5,19198312;-0,000307495;5,259593057;-0,067302442
108;01/12/2022;5,191122547;5,259778085;-0,068655538;5,259778085;-0,068655538;5,184913822;0,006208724;NA;NA;5,180140519;0,010982028;5,192642906;0,001520359;5,260751518;-0,069628971
109;01/03/2023;5,205417162;5,265507759;-0,060090596;5,265507759;-0,060090596;5,190921061;0,014496102;NA;NA;5,192122387;0,013294776;5,207028011;0,001610848;5,275563643;-0,070146481
110;01/06/2023;5,215217672;5,271237433;-0,056019761;5,271237433;-0,056019761;5,196956788;0,018260884;NA;NA;5,204061523;0,011156149;5,216218281;0,001000609;5,286146149;-0,070928477
111;01/09/2023;5,216661983;5,276967107;-0,060305123;5,276967107;-0,060305123;5,203001054;0,01366093;NA;NA;5,208751501;0,007910483;5,218327449;0,001665466;5,289037311;-0,072375328
